Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Standard Deviation Moisture,Min Moisture,Max Moisture,Residual Moisture,Leverage Moisture,Ref Moisture,TW,Ref TW,Oil0%,Standard Deviation Oil0%,Min Oil0%,Max Oil0%,Residual Oil0%,Leverage Oil0%,Ref Oil0%
11/19/2024 12:00:56 PM,Rapeseed I,60073681 RA,Normal,CE189_GP_2024_SC_Gr,,Infratec,91915904,5.83,0.264,5.553,6.503,0,0,,,,49.3,0.788,47.527,50.144,0,0,
11/19/2024 12:09:20 PM,Rapeseed I,60073681 RA,Normal,CE175_GP_2024_SC_Gr,,Infratec,91915904,6.45,0.248,5.955,6.788,0,0,,,,45.32,0.476,44.475,46.208,0,0,
11/19/2024 1:13:09 PM,Rapeseed I,60073681 RA,Normal,CE128_GP_2024_SC_Gr,,Infratec,91915904,5.75,0.35,5.272,6.226,0,0,,,,49.85,0.582,48.951,50.847,0,0,
11/19/2024 1:17:24 PM,Rapeseed I,60073681 RA,Normal,CE108_GP_2024_SC_Gr,,Infratec,91915904,5.79,0.224,5.344,6.117,0,0,,,,48.98,0.682,47.551,49.597,0,0,
11/19/2024 1:21:41 PM,Rapeseed I,60073681 RA,Normal,CE126_GP_2024_SC_Gr,,Infratec,91915904,5.65,0.159,5.438,5.877,0,0,,,,47.8,0.421,47.144,48.34,0,0,
11/19/2024 1:30:47 PM,Rapeseed I,60073681 RA,Normal,CE170_GP_2024_SC_Gr,,Infratec,91915904,5.8,0.122,5.647,6,0,0,,,,38.84,0.306,38.139,39.242,0,0,
11/19/2024 1:44:19 PM,Rapeseed I,60073681 RA,Normal,CE100_GP_2024_SC_Gr,,Infratec,91915904,6.28,0.301,5.91,6.729,0,0,,,,48.5,1.043,45.85,49.49,0,0,
11/19/2024 1:48:36 PM,Rapeseed I,60073681 RA,Normal,CE187_GP_2024_SC_Gr,,Infratec,91915904,5.82,0.25,5.512,6.189,0,0,,,,45.59,0.655,44.33,46.34,0,0,
11/19/2024 1:55:35 PM,Rapeseed I,60073681 RA,Normal,CE129_GP_2024_SC_Gr,,Infratec,91915904,6.47,0.242,6.143,7.016,0,0,,,,46.1,0.531,45.508,46.739,0,0,
11/19/2024 1:57:37 PM,Rapeseed I,60073681 RA,Normal,CE122_GP_2024_SC_Gr,,Infratec,91915904,6.02,0.196,5.584,6.246,0,0,,,,48.17,0.871,46.055,49.023,0,0,
11/19/2024 1:59:13 PM,Rapeseed I,60073681 RA,Normal,CE150_GP_2024_SC_Gr,,Infratec,91915904,6.46,0.488,5.881,7.411,0,0,,,,47.43,0.698,46.128,48.312,0,0,
11/19/2024 2:01:26 PM,Rapeseed I,60073681 RA,Normal,CE112_GP_2024_SC_Gr,,Infratec,91915904,5.67,0.113,5.478,5.865,0,0,,,,46.08,0.432,45.15,46.737,0,0,
11/19/2024 2:03:06 PM,Rapeseed I,60073681 RA,Normal,CE164_GP_2024_SC_Gr,,Infratec,91915904,5.87,0.266,5.591,6.366,0,0,,,,47.88,0.603,46.732,48.5,0,0,
11/19/2024 3:27:15 PM,Rapeseed I,60073681 RA,Normal,CE47_GP_2024_SC_Gr,,Infratec,91915904,5.76,0.285,5.367,6.434,0,0,,,,47.55,0.642,46.74,48.916,0,0,
11/19/2024 3:29:40 PM,Rapeseed I,60073681 RA,Normal,CE46_GP_2024_SC_Gr,,Infratec,91915904,5.6,0.236,5.051,5.906,0,0,,,,46.49,0.66,45.533,47.464,0,0,
11/19/2024 3:45:51 PM,Rapeseed I,60073681 RA,Normal,CE3_GP_2024_SC_Gr,,Infratec,91915904,5.79,0.06,5.715,5.875,0,0,,,,44.92,0.549,44.042,45.711,0,0,
11/19/2024 3:47:14 PM,Rapeseed I,60073681 RA,Normal,CE23_GP_2024_SC_Gr,,Infratec,91915904,6.04,0.294,5.547,6.603,0,0,,,,47.93,1.049,45.759,48.87,0,0,
11/19/2024 3:50:29 PM,Rapeseed I,60073681 RA,Normal,CE72_GP_2024_SC_Gr,,Infratec,91915904,5.95,0.257,5.563,6.576,0,0,,,,49.95,0.566,48.867,50.592,0,0,
11/19/2024 3:52:05 PM,Rapeseed I,60073681 RA,Normal,CE4_GP_2024_SC_Gr,,Infratec,91915904,6.04,0.149,5.859,6.265,0,0,,,,45.66,0.293,45.152,46.038,0,0,
11/20/2024 2:15:35 PM,Rapeseed I,60073681 RA,Normal,CE27_GP_2024_SC_Gr,,Infratec,91915904,5.26,0.308,4.756,5.723,0,0,,,,46.95,0.892,45.276,48.313,0,0,
11/20/2024 2:28:46 PM,Rapeseed I,60073681 RA,Normal,CE48_GP_2024_SC_Gr,,Infratec,91915904,5.22,0.212,4.904,5.54,0,0,,,,48.9,1.584,44.707,49.955,0,0,
11/20/2024 2:33:17 PM,Rapeseed I,60073681 RA,Normal,CE73_GP_2024_SC_Gr,,Infratec,91915904,5.5,0.193,5.27,5.896,0,0,,,,48.49,0.971,46.7,49.602,0,0,
