Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture
11/13/2023 12:39:54 PM,Field Peas II,60073677 PE,Normal,CE226_GP_2023_WP_Gr,,Infratec,91915904,21.87,0.00,0.00,10.47,0.00,0.00
11/13/2023 12:41:51 PM,Field Peas II,60073677 PE,Normal,CE228_GP_2023_WP_Gr,,Infratec,91915904,21.71,0.00,0.00,10.38,0.00,0.00
11/13/2023 12:44:10 PM,Field Peas II,60073677 PE,Normal,CE224_GP_2023_WP_Gr,,Infratec,91915904,21.36,0.00,0.00,9.85,0.00,0.00
11/13/2023 12:47:04 PM,Field Peas II,60073677 PE,Normal,CE198_GP_2023_WP_Gr,,Infratec,91915904,21.80,0.00,0.00,9.70,0.00,0.00
11/13/2023 12:52:36 PM,Field Peas II,60073677 PE,Normal,CE207_GP_2023_WP_Gr,,Infratec,91915904,22.53,0.00,0.00,10.82,0.00,0.00
11/13/2023 12:54:28 PM,Field Peas II,60073677 PE,Normal,CE204_GP_2023_WP_Gr,,Infratec,91915904,23.55,0.00,0.00,10.55,0.00,0.00
11/13/2023 12:55:49 PM,Field Peas II,60073677 PE,Normal,CE205_GP_2023_WP_Gr,,Infratec,91915904,20.99,0.00,0.00,9.98,0.00,0.00
11/13/2023 12:57:39 PM,Field Peas II,60073677 PE,Normal,CE195_GP_2023_WP_Gr,,Infratec,91915904,21.86,0.00,0.00,10.18,0.00,0.00
11/13/2023 12:59:28 PM,Field Peas II,60073677 PE,Normal,CE206_GP_2023_WP_Gr,,Infratec,91915904,22.18,0.00,0.00,10.66,0.00,0.00
11/13/2023 1:01:10 PM,Field Peas II,60073677 PE,Normal,CE209_GP_2023_WP_Gr,,Infratec,91915904,21.86,0.00,0.00,10.33,0.00,0.00
11/13/2023 1:02:59 PM,Field Peas II,60073677 PE,Normal,CE203_GP_2023_WP_Gr,,Infratec,91915904,21.80,0.00,0.00,10.08,0.00,0.00
11/13/2023 1:04:36 PM,Field Peas II,60073677 PE,Normal,CE208_GP_2023_WP_Gr,,Infratec,91915904,21.41,0.00,0.00,10.47,0.00,0.00
