Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Protein0%,Leverage Protein0%,Residual Protein0%,Moisture,Leverage Moisture,Residual Moisture,Starch0%,Leverage Starch0%,Residual Starch0%,Gluten0%,Leverage Gluten0%,Residual Gluten0%,Zeleny0%,Leverage Zeleny0%,Residual Zeleny0%,TW
11/6/2023 2:34:44 PM,Wheat II,60073697 WH,Normal,6A_1_Lime_O_2023_SW_Gr,,Infratec,91915904,10.04,0.00,0.00,11.05,0.00,0.00,73.49,0.00,0.00,25.94,0.00,0.00,34.31,0.00,0.00,61.40
11/6/2023 2:40:45 PM,Wheat II,60073697 WH,Normal,6B_1_Lime_N_2023_SW_Gr,,Infratec,91915904,9.77,0.00,0.00,11.58,0.00,0.00,73.76,0.00,0.00,25.37,0.00,0.00,33.14,0.00,0.00,61.19
11/6/2023 2:43:14 PM,Wheat II,60073697 WH,Normal,6B_2_Lime_N_2023_SW_Gr,,Infratec,91915904,9.55,0.00,0.00,11.07,0.00,0.00,73.82,0.00,0.00,24.81,0.00,0.00,31.99,0.00,0.00,60.96
11/6/2023 2:44:55 PM,Wheat II,60073697 WH,Normal,6B_3_Lime_N_2023_SW_Gr,,Infratec,91915904,11.30,0.00,0.00,11.41,0.00,0.00,72.35,0.00,0.00,28.81,0.00,0.00,41.64,0.00,0.00,62.22
11/6/2023 2:46:38 PM,Wheat II,60073697 WH,Normal,6B_4_Lime_N_2023_SW_Gr,,Infratec,91915904,10.26,0.00,0.00,11.39,0.00,0.00,73.67,0.00,0.00,26.69,0.00,0.00,35.64,0.00,0.00,61.69
11/6/2023 2:49:22 PM,Wheat II,60073697 WH,Normal,6B_4_Lime_O_2023_SW_Gr,,Infratec,91915904,12.04,0.00,0.00,11.30,0.00,0.00,71.54,0.00,0.00,31.54,0.00,0.00,46.82,0.00,0.00,62.55
11/6/2023 2:51:44 PM,Wheat II,60073697 WH,Normal,6B_1_Lime_O_2023_SW_Gr,,Infratec,91915904,10.43,0.00,0.00,11.28,0.00,0.00,73.45,0.00,0.00,27.18,0.00,0.00,36.59,0.00,0.00,61.07
11/6/2023 2:53:16 PM,Wheat II,60073697 WH,Normal,6B_3_Lime_O_2023_SW_Gr,,Infratec,91915904,12.52,0.00,0.00,11.06,0.00,0.00,71.41,0.00,0.00,32.69,0.00,0.00,47.99,0.00,0.00,62.53
11/6/2023 2:55:06 PM,Wheat II,60073697 WH,Normal,6B_2_Lime_O_2023_SW_Gr,,Infratec,91915904,11.10,0.00,0.00,11.47,0.00,0.00,72.71,0.00,0.00,28.57,0.00,0.00,40.86,0.00,0.00,61.69
11/6/2023 2:56:44 PM,Wheat II,60073697 WH,Normal,8A_4_Lime_N_2023_SW_Gr,,Infratec,91915904,11.02,0.00,0.00,10.90,0.00,0.00,72.48,0.00,0.00,28.66,0.00,0.00,38.97,0.00,0.00,60.47
